label	question	answer	lang
LOC:country	17,000 island nation?	Indonesia.	en
HUM:ind	1984 author?	1984.	en
ENTY:symbol	27th letter name?	The ampersand.	en
ENTY:techmeth	3D printing?	Additive manufacturing.	en
ENTY:instru	88 key device?	The piano.	en
NUM:period	A standard day?	24 hours.	en
ABBR:abb	Abbreviation for the state of New York?	NY	en
ABBR:abb	Acronym for laser?	LASER	en
ABBR:abb	Acronym for light amplification by stimulated emission of radiation?	LASER	en
ABBR:abb	Acronym for sonar?	SONAR	en
ABBR:abb	Acronym for the International Monetary Fund?	IMF	en
ABBR:abb	Acronym for the United Nations?	UN	en
ENTY:techmeth	Active noise cancellation relies on digital signal processing; provide the name for the wave manipulation used.	Phase inversion.	en
HUM:desc	Actor's job?	A professional who performs in plays or movies.	en
HUM:title	Admiral navy?	Admiral.	en
NUM:perc	Air nitrogen?	78 percent.	en
ENTY:body	Air sac?	The alveoli.	en
NUM:code	Airport code?	LAX.	en
NUM:code	Airport IATA?	SFO.	en
ENTY:veh	Airship name?	The Hindenburg.	en
ENTY:letter	Alpha shape?	Α.	en
LOC:mount	Alps continent?	Europe.	en
LOC:mount	Alps location?	The Alps.	en
LOC:landmass	Amazon basin?	The Amazon Basin.	en
NUM:dist	Amazon long?	6,400 km.	en
LOC:water	Amazon mouth?	The Amazon.	en
HUM:gr	Amazon tribe?	The Yanomami people.	en
HUM:gr	Amish belief?	The Amish community.	en
HUM:desc	An environmental epidemiologist studies the relationship between factors and health.	Analyzing how pollution and climate affect public health.	en
HUM:desc	An environmental epidemiologist studies the relationship between factors and health; provide a look at their work.	Analyzing how pollution and climate affect public health.	en
ENTY:word	Anagram silent?	Listen.	en
DESC:desc	Ancient Egyptian religion was a complex system of polytheistic beliefs; describe their funerary practices.	Rituals and mummification to prepare for the afterlife.	en
DESC:desc	Ancient Greek mythology was a complex system of beliefs; describe the nature of the god Zeus.	The powerful king of the gods who ruled the sky.	en
ENTY:religion	Ancient Greek religion was a complex polytheistic system; name the home of the gods.	Mount Olympus.	en
ENTY:religion	Ancient Greek religion was a complex system; provide the name of the home of the twelve major gods in the sky.	Mount Olympus.	en
ENTY:religion	Ancient Greek religion was a complex system; provide the name of the home of the twelve major gods.	Mount Olympus.	en
ENTY:lang	Ancient Rome tongue?	Latin.	en
LOC:mount	Andes country?	Chile/Peru.	en
LOC:mount	Andes where?	The Andes.	en
ENTY:product	Android OS?	Android.	en
ENTY:symbol	Ankh mean?	Life.	en
ENTY:symbol	Ankh meaning?	The Ankh.	en
ENTY:symbol	Ankh name?	The Ankh.	en
ENTY:animal	Ant society?	The Leafcutter Ant.	en
ENTY:animal	Antarctic penguin?	The Emperor Penguin.	en
LOC:landmass	Antarctica area?	Antarctica.	en
LOC:other	Antarctica is a unique landmass; provide the location of the Amundsen-Scott research station on the continent.	At the geographical South Pole.	en
LOC:other	Antarctica is a unique landmass; provide the location of the McMurdo research station.	Ross Island.	en
LOC:landmass	Antarctica is the coldest continent; provide the name of the mountain range that divides it.	The Transantarctic Mountains.	en
ENTY:word	Antonym search?	Benevolent.	en
NUM:date	Apollo 11 date?	1969.	en
ENTY:event	Apollo 11?	The Moon Landing.	en
ENTY:letter	Arabic Alif?	ﺍ.	en
ENTY:lang	Arabic script?	Arabic.	en
BOOL:yesno	Are all prime numbers odd integers in math?	No.	en
BOOL:yesno	Are all spiders classified as arachnids in biological terms?	Yes.	en
BOOL:yesno	Are lions cats?	Yes.	en
BOOL:yesno	Are spiders classified as insects in biology?	No.	en
BOOL:yesno	Are there any birds that cannot fly at all?	Yes, such as ostriches.	en
BOOL:yesno	Are trees alive?	Yes.	en
NUM:code	Area code 212?	212.	en
NUM:code	Area code for Los Angeles?	213.	en
NUM:code	Area code?	212.	en
ENTY:symbol	Aries sign?	The Ram.	en
HUM:title	Army General?	General.	en
HUM:desc	Artist work?	A person who creates paintings or sculptures.	en
NUM:code	ASCII value for @?	64.	en
NUM:temp	At what temperature does a bar of milk chocolate begin to melt?	30 degrees.	en
NUM:temp	At what temperature does a pizza oven bake?	400 degrees Celsius.	en
NUM:temp	At what temperature does a standard wood-fired pizza oven bake?	400 degrees.	en
NUM:temp	At what temperature does granulated sugar begin to caramelize properly?	160 degrees.	en
NUM:temp	At what temperature does granulated sugar begin to caramelize?	160 degrees.	en
NUM:temp	At what temperature does liquid argon boil at standard pressure?	-185 degrees.	en
NUM:temp	At what temperature does liquid argon boil?	-185 degrees Celsius.	en
NUM:temp	At what temperature does milk chocolate melt?	30 degrees Celsius.	en
NUM:temp	At what temperature does solid granite melt?	1,200 degrees Celsius.	en
NUM:temp	At what temperature does solid granite rock begin to melt down?	1,200 degrees.	en
NUM:temp	At what temperature does solid granite rock begin to melt?	1,200 degrees.	en
NUM:temp	At what temperature does sugar caramelize?	160 degrees Celsius.	en
LOC:landmass	Atacama desert?	South America.	en
LOC:mount	Atlas Africa?	The Atlas Mountains.	en
NUM:perc	Attendance?	Ninety percent.	en
LOC:state	Auckland NZ?	Auckland.	en
LOC:landmass	Australian out?	The Outback.	en
ENTY:sport	Australian Rules Football is a fast game; name the field it uses.	The oval.	en
ENTY:sport	Australian Rules Football is a fast-paced game unique to the continent; provide the name for the field on which it is played.	The oval.	en
NUM:weight	Average birth weight of a human?	3.5 kilograms.	en
NUM:money	Average cost of a wedding in the US?	0,000.	en
NUM:money	Average house price in Texas?	50,000.	en
NUM:other	Avogadro?	6.022 x 10^23.	en
ENTY:currency	Baht sign?	The Thai Baht.	en
ENTY:food	Baking relies on precise chemical reactions; provide the name of the raising agent that uses an acid-base reaction.	Baking powder.	en
ENTY:sport	Ball game?	Basketball.	en
ENTY:plant	Bamboo stalk?	The Bamboo.	en
ENTY:instru	Banjo skin?	The resonator.	en
ENTY:color	Bark color?	Brown.	en
DESC:desc	Bark look?	Rough, brown, and deeply grooved on the tree.	en
ENTY:lang	Basque isolate?	Basque.	en
ENTY:event	Bastille Day?	The French Revolution.	en
LOC:state	Bavaria where?	Bavaria.	en
ENTY:termeq	Beautiful?	Lovely.	en
HUM:gr	Bedouin life?	The Bedouin nomads.	en
ENTY:cremat	Beowulf roots?	Beowulf.	en
HUM:gr	Berber origin?	The Amazigh people.	en
LOC:water	Bering Strait?	The Bering Strait.	en
LOC:city	Berlin Germany?	Berlin.	en
ENTY:event	Berlin wall fall?	The 1989 protests.	en
ENTY:termeq	Big synonym?	Large.	en
ENTY:termeq	Big word?	Large.	en
NUM:code	Binary bit 1?	101.	en
ENTY:letter	Binary bit?	Zero or one.	en
NUM:code	Binary code for carriage return?	00001101.	en
ENTY:symbol	Biohazard?	The Biohazard sign.	en
ENTY:symbol	Biological hazard sign?	The Biohazard symbol.	en
NUM:speed	Bird speed?	200 mph.	en
ENTY:currency	Bitcoin legal?	The Bitcoin.	en
ENTY:event	Black Death years?	The 14th century plague.	en
ENTY:event	Black Death?	The Black Death.	en
DESC:desc	Black hole?	A region with gravity so strong it's invisible.	en
ENTY:animal	Black widow type?	The Spider.	en
ENTY:techmeth	Blockchain use?	Blockchain technology.	en
ENTY:techmeth	Blockchain?	Blockchain technology.	en
ENTY:body	Blood cell?	Erythrocytes.	en
ENTY:color	Blood color?	Red.	en
ENTY:color	Blood shade?	Crimson.	en
ENTY:symbol	Bluetooth technology icon name?	The Bluetooth symbol.	en
ENTY:sport	Board game?	Chess.	en
DESC:manner	Boil water?	Heat in a pot until bubbles appear rapidly.	en
NUM:other	Boiling water?	100 degrees.	en
NUM:other	Boltzmann k?	1.38 x 10^-23.	en
NUM:other	Boltzmann?	1.38 x 10^-23.	en
ENTY:body	Bone density?	The femur.	en
NUM:count	Bones in body?	206.	en
NUM:count	Bones in hand?	27.	en
LOC:country	Bordering US and Guatemala?	Mexico.	en
LOC:landmass	Borneo island?	Borneo.	en
LOC:landmass	Borneo location?	Southeast Asia.	en
